num_threads;num_iterations;mode;time
1;1000;static;1.66456
1;1000;dynamic;1.66498
1;1000;guided;1.64528
2;1000;static;0.912123
2;1000;dynamic;0.919364
2;1000;guided;0.854938
4;1000;static;0.579996
4;1000;dynamic;0.613655
4;1000;guided;0.618636
6;1000;static;0.91331
6;1000;dynamic;0.548343
6;1000;guided;0.549178
8;1000;static;0.523254
8;1000;dynamic;0.534953
8;1000;guided;0.535462
10;1000;static;0.623073
10;1000;dynamic;0.587282
10;1000;guided;0.609055
1;100;static;0.164378
1;100;dynamic;0.165647
1;100;guided;0.167543
2;100;static;0.089796
2;100;dynamic;0.0957608
2;100;guided;0.0880566
4;100;static;0.0549156
4;100;dynamic;0.0603664
4;100;guided;0.0698869
6;100;static;0.123941
6;100;dynamic;0.0631862
6;100;guided;0.0553805
8;100;static;0.0527637
8;100;dynamic;0.0551388
8;100;guided;0.0572088
10;100;static;0.0631501
10;100;dynamic;0.0562576
10;100;guided;0.0577469
1;10000;static;17.0803
1;10000;dynamic;18.0862
1;10000;guided;18.4184
2;10000;static;10.4992
2;10000;dynamic;13.4969
2;10000;guided;13.2778
4;10000;static;6.85992
4;10000;dynamic;7.59469
4;10000;guided;7.56412
6;10000;static;11.4365
6;10000;dynamic;6.11909
6;10000;guided;6.19586
8;10000;static;5.61702
8;10000;dynamic;5.97956
8;10000;guided;5.6908
10;10000;static;6.42992
10;10000;dynamic;5.80364
10;10000;guided;5.76963
